filename,height,width,mean,std,min,max,pct_gt_1,pct_gt_5,pct_gt_10,timestamp,processed_at
3RIMG_23JAN2026_2345_L2B_IMC_V01R00.h5,2816,2805,0.03952012211084366,0.6323501467704773,0.0,60.0,0.786276029006644,0.15419907632474478,0.05566611975368659,13708785.0,2026-02-14T17:47:03.067297
3RIMG_24JAN2026_0015_L2B_IMC_V01R00.h5,2816,2805,0.03683561459183693,0.5782840251922607,0.0,60.0,0.7654123116188625,0.1371333657429914,0.05150097228974234,13708815.0,2026-02-14T17:47:03.165811
3RIMG_24JAN2026_0045_L2B_IMC_V01R00.h5,2816,2805,0.03611014410853386,0.5569701790809631,0.0,59.92591857910156,0.7650451709609464,0.1335252592772646,0.0501336898395722,13708845.0,2026-02-14T17:47:03.263341
3RIMG_24JAN2026_0115_L2B_IMC_V01R00.h5,2816,2805,0.036507852375507355,0.5739825367927551,0.0,60.0,0.7827692027224112,0.13453806109220548,0.04941206854642684,13708875.0,2026-02-14T17:47:03.367852
3RIMG_24JAN2026_0145_L2B_IMC_V01R00.h5,2816,2805,0.038764845579862595,0.6399720311164856,0.0,60.0,0.7864406093015719,0.14396977799384217,0.059919887376438184,13708905.0,2026-02-14T17:47:03.471391
3RIMG_24JAN2026_0215_L2B_IMC_V01R00.h5,2816,2805,0.039703190326690674,0.6918911337852478,0.0,60.0,0.7739198468643657,0.140804772322152,0.06717408037595203,13708935.0,2026-02-14T17:47:03.575880
3RIMG_24JAN2026_0245_L2B_IMC_V01R00.h5,2816,2805,0.03738094121217728,0.6360465884208679,0.0,60.0,0.7391427645438341,0.13986793064333172,0.06518645681413061,13708965.0,2026-02-14T17:47:03.680448
3RIMG_24JAN2026_0315_L2B_IMC_V01R00.h5,2816,2805,0.03296276181936264,0.5648070573806763,0.0,60.0,0.6935033827580619,0.11648486874088478,0.05343795576081672,13708995.0,2026-02-14T17:47:03.786478
3RIMG_24JAN2026_0345_L2B_IMC_V01R00.h5,2816,2805,0.03561633080244064,0.6159586906433105,0.0,60.0,0.7444599740722735,0.13342397909577056,0.05751448306595366,13709025.0,2026-02-14T17:47:03.887526
3RIMG_24JAN2026_0415_L2B_IMC_V01R00.h5,2816,2805,0.03427250310778618,0.5880031585693359,0.0,60.0,0.7339141751742019,0.12403024226219414,0.054957158483228005,13709055.0,2026-02-14T17:47:03.993039
3RIMG_24JAN2026_0445_L2B_IMC_V01R00.h5,2816,2805,0.03125690296292305,0.5387625098228455,0.0,60.0,0.7108729338842975,0.10260948387619512,0.04048675255226057,13709085.0,2026-02-14T17:47:04.096549
3RIMG_24JAN2026_0515_L2B_IMC_V01R00.h5,2816,2805,0.03273467347025871,0.5886490345001221,0.0,60.0,0.744118153459731,0.10458444741532978,0.040651332847188464,13709115.0,2026-02-14T17:47:04.193129
3RIMG_24JAN2026_0545_L2B_IMC_V01R00.h5,2816,2805,0.032745905220508575,0.559174120426178,0.0,60.0,0.776489831469778,0.10616695025117484,0.03947395073731973,13709145.0,2026-02-14T17:47:04.284659
3RIMG_24JAN2026_0615_L2B_IMC_V01R00.h5,2816,2805,0.03229186683893204,0.6047425270080566,0.0,60.0,0.7599431818181819,0.09515273051369308,0.036435545292497165,13709175.0,2026-02-14T17:47:04.386200
3RIMG_24JAN2026_0645_L2B_IMC_V01R00.h5,2816,2805,0.03190915286540985,0.5773015022277832,0.0,60.0,0.7707295211473019,0.08799981769567332,0.0324982782369146,13709205.0,2026-02-14T17:47:04.485748
3RIMG_24JAN2026_0715_L2B_IMC_V01R00.h5,2816,2805,0.03272620588541031,0.5963258147239685,0.0,60.0,0.7918717590341922,0.08897463944255389,0.030890455355695998,13709235.0,2026-02-14T17:47:04.587816
3RIMG_24JAN2026_0745_L2B_IMC_V01R00.h5,2816,2805,0.03059297986328602,0.4567309021949768,0.0,60.0,0.8149003403014098,0.07977080294927888,0.022686760654675092,13709265.0,2026-02-14T17:47:04.687857
3RIMG_24JAN2026_0815_L2B_IMC_V01R00.h5,2816,2805,0.028793925419449806,0.3942306339740753,0.0,60.0,0.7823767420191218,0.07494733430562307,0.019369834710743803,13709295.0,2026-02-14T17:47:04.786971
3RIMG_24JAN2026_0845_L2B_IMC_V01R00.h5,2816,2805,0.030194764956831932,0.3877919018268585,0.0,48.585784912109375,0.8254587992221682,0.07480807405606871,0.022661440609301572,13709325.0,2026-02-14T17:47:04.889497
3RIMG_24JAN2026_0915_L2B_IMC_V01R00.h5,2816,2805,0.029884252697229385,0.38009828329086304,0.0,60.0,0.8082158483228001,0.07140252795333009,0.02220567979257819,13709355.0,2026-02-14T17:47:04.984016
3RIMG_24JAN2026_0945_L2B_IMC_V01R00.h5,2816,2805,0.030507761985063553,0.3740687668323517,0.0,60.0,0.8324597917679468,0.07204818911035488,0.021104257818830012,13709385.0,2026-02-14T17:47:05.086530
3RIMG_24JAN2026_1015_L2B_IMC_V01R00.h5,2816,2805,0.03137588128447533,0.39679279923439026,0.0,60.0,0.8341942148760331,0.0810241451952682,0.021547358612866635,13709415.0,2026-02-14T17:47:05.189042
3RIMG_24JAN2026_1045_L2B_IMC_V01R00.h5,2816,2805,0.030400635674595833,0.37797805666923523,0.0,60.0,0.8004046143250688,0.08174576648841354,0.016331429265921245,13709445.0,2026-02-14T17:47:05.290554
3RIMG_24JAN2026_1115_L2B_IMC_V01R00.h5,2816,2805,0.03397378697991371,0.4241410493850708,0.0,60.0,0.8686547966293956,0.11112967914438503,0.023459022038567492,13709475.0,2026-02-14T17:47:05.387083
3RIMG_24JAN2026_1145_L2B_IMC_V01R00.h5,2816,2805,0.03425924479961395,0.4352249801158905,0.0,60.0,0.8537792699724519,0.12385300194457949,0.023028581267217633,13709505.0,2026-02-14T17:47:05.482501
3RIMG_24JAN2026_1215_L2B_IMC_V01R00.h5,2816,2805,0.03535151481628418,0.48146146535873413,0.0,60.0,0.837106020093988,0.1461093218279047,0.028459730999837948,13709535.0,2026-02-14T17:47:05.576017
3RIMG_24JAN2026_1245_L2B_IMC_V01R00.h5,2816,2805,0.03780616447329521,0.5146872401237488,0.0,60.0,0.8733390050234969,0.16275725166099497,0.03408078107275968,13709565.0,2026-02-14T17:47:05.670531
3RIMG_24JAN2026_1315_L2B_IMC_V01R00.h5,2816,2805,0.0400162935256958,0.576200544834137,0.0,60.0,0.8518296264786905,0.18897615864527628,0.04565204180845892,13709595.0,2026-02-14T17:47:05.768093
3RIMG_24JAN2026_1345_L2B_IMC_V01R00.h5,2816,2805,0.04289039224386215,0.6200820803642273,0.0,60.0,0.8912529371252633,0.20662423027062063,0.05239983390050235,13709625.0,2026-02-14T17:47:05.860662
3RIMG_24JAN2026_1415_L2B_IMC_V01R00.h5,2816,2805,0.046128928661346436,0.7263808846473694,0.0,60.0,0.8838594838761951,0.21794229055258468,0.05985658726300438,13709655.0,2026-02-14T17:47:05.956152
3RIMG_24JAN2026_1445_L2B_IMC_V01R00.h5,2816,2805,0.04926031082868576,0.8798074722290039,0.0,60.0,0.8513485456165938,0.21730928941824665,0.06714876033057851,13709685.0,2026-02-14T17:47:06.060666
3RIMG_24JAN2026_1515_L2B_IMC_V01R00.h5,2816,2805,0.04889688640832901,0.8970571756362915,0.0,60.0,0.8436006117322962,0.20613048938583697,0.0635153338194782,13709715.0,2026-02-14T17:47:06.164186
3RIMG_24JAN2026_1545_L2B_IMC_V01R00.h5,2816,2805,0.05407961085438728,1.0248359441757202,0.0,60.0,0.8564125546912981,0.22244925862907144,0.07537777507697294,13709745.0,2026-02-14T17:47:06.260702
3RIMG_24JAN2026_1615_L2B_IMC_V01R00.h5,2816,2805,0.05843941494822502,1.1007517576217651,0.0,60.0,0.8901768351968887,0.2407176713660671,0.08336624939231892,13709775.0,2026-02-14T17:47:06.362212
3RIMG_24JAN2026_1645_L2B_IMC_V01R00.h5,2816,2805,0.049782585352659225,0.9585043787956238,0.0,60.0,0.840435606060606,0.19426804812834225,0.061008649327499595,13709805.0,2026-02-14T17:47:06.461722
3RIMG_24JAN2026_1715_L2B_IMC_V01R00.h5,2816,2805,0.04330115020275116,0.9070081114768982,0.0,60.0,0.7486504415815913,0.13900704910063197,0.05148831226705558,13709835.0,2026-02-14T17:47:06.560241
3RIMG_24JAN2026_1745_L2B_IMC_V01R00.h5,2816,2805,0.04006076976656914,0.7224019765853882,0.0,60.0,0.7828704829039054,0.15123663101604276,0.04277821665856425,13709865.0,2026-02-14T17:47:06.663753
3RIMG_24JAN2026_1815_L2B_IMC_V01R00.h5,2816,2805,0.029092496261000633,0.45748862624168396,0.0,60.0,0.6854516083292821,0.08654391508669583,0.02933327256522444,13709895.0,2026-02-14T17:47:06.763259
3RIMG_24JAN2026_1845_L2B_IMC_V01R00.h5,2816,2805,0.02984866313636303,0.40411320328712463,0.0,59.34484100341797,0.7436244125749473,0.09772271511910549,0.02321848160751904,13709925.0,2026-02-14T17:47:06.865773
3RIMG_24JAN2026_1915_L2B_IMC_V01R00.h5,2816,2805,0.030029172077775,0.41972726583480835,0.0,60.0,0.7306985294117647,0.0982037959812024,0.027788749797439637,13709955.0,2026-02-14T17:47:06.964316
3RIMG_24JAN2026_1945_L2B_IMC_V01R00.h5,2816,2805,0.03190312534570694,0.4407006502151489,0.0,60.0,0.7744135877491493,0.10710379192999514,0.027510229298330906,13709985.0,2026-02-14T17:47:07.065825
3RIMG_24JAN2026_2015_L2B_IMC_V01R00.h5,2816,2805,0.027708429843187332,0.36042284965515137,0.0,48.83491516113281,0.7013272767784801,0.0782895802949279,0.02012943607194944,13710015.0,2026-02-14T17:47:07.186346
3RIMG_24JAN2026_2045_L2B_IMC_V01R00.h5,2816,2805,0.02924610674381256,0.3749987781047821,0.0,48.76920700073242,0.7424723505104521,0.085847613838924,0.02362360233349538,13710045.0,2026-02-14T17:47:07.292818
3RIMG_24JAN2026_2115_L2B_IMC_V01R00.h5,2816,2805,0.030428994446992874,0.39153826236724854,0.0,48.24471664428711,0.7789585358936963,0.0888733592610598,0.02404138308215848,13710075.0,2026-02-14T17:47:07.404402
3RIMG_24JAN2026_2145_L2B_IMC_V01R00.h5,2816,2805,0.031970735639333725,0.39235594868659973,0.0,39.79970932006836,0.8063421649651595,0.09373480797277589,0.02514280505590666,13710105.0,2026-02-14T17:47:07.510915
3RIMG_24JAN2026_2215_L2B_IMC_V01R00.h5,2816,2805,0.030722057446837425,0.36430108547210693,0.0,33.82858657836914,0.7752871293145358,0.09293722654350997,0.023104541403338195,13710135.0,2026-02-14T17:47:07.616430
3RIMG_24JAN2026_2245_L2B_IMC_V01R00.h5,2816,2805,0.03059866838157177,0.3579658567905426,0.0,36.75342559814453,0.7800599578674445,0.09522869064981364,0.019369834710743803,13710165.0,2026-02-14T17:47:07.723990
3RIMG_24JAN2026_2315_L2B_IMC_V01R00.h5,2816,2805,0.030246445909142494,0.3628484606742859,0.0,39.46371078491211,0.7362815994166262,0.10591374979743964,0.02240824015556636,13710195.0,2026-02-14T17:47:07.834487
3RIMG_24JAN2026_2345_L2B_IMC_V01R00.h5,2816,2805,0.03019820526242256,0.3520714044570923,0.0,46.028167724609375,0.7327874331550802,0.10054590017825311,0.019395154756117323,13710225.0,2026-02-14T17:47:07.944157
3RIMG_25JAN2026_0015_L2B_IMC_V01R00.h5,2816,2805,0.02694573998451233,0.32315561175346375,0.0,42.86091995239258,0.664828431372549,0.07951760249554367,0.015571827904715604,13710255.0,2026-02-14T17:47:08.050701
