filename,height,width,mean,std,min,max,pct_lt_220,pct_lt_240,pct_lt_260,timestamp,processed_at
3RIMG_23JAN2026_1545_L2B_OLR_V01R00.h5,2816,2805,-199.01046752929688,597.1140747070312,-999.0,330.12646484375,53.07129618376276,59.026659475773776,66.79139321017664,13708305.0,2026-02-15T03:21:47.301272
3RIMG_23JAN2026_1615_L2B_OLR_V01R00.h5,2816,2805,-200.2003631591797,596.563232421875,-999.0,322.72930908203125,53.39473444336412,59.44208546021714,67.51607822881218,13708335.0,2026-02-15T03:21:47.491710
3RIMG_23JAN2026_1645_L2B_OLR_V01R00.h5,2816,2805,-201.83493041992188,596.2291870117188,-999.0,316.3458251953125,53.79600652244368,59.901593643655815,68.22583708070005,13708365.0,2026-02-15T03:21:47.671755
3RIMG_23JAN2026_1715_L2B_OLR_V01R00.h5,2816,2805,-202.07315063476562,596.2645874023438,-999.0,312.283935546875,53.822921730675745,59.94814454707503,68.25887973991249,13708395.0,2026-02-15T03:21:47.998249
3RIMG_23JAN2026_1745_L2B_OLR_V01R00.h5,2816,2805,-200.984130859375,596.2943115234375,-999.0,314.49658203125,53.58268514017177,59.71560525036461,67.98125810241451,13708425.0,2026-02-15T03:21:48.185635
3RIMG_23JAN2026_1815_L2B_OLR_V01R00.h5,2816,2805,-200.44081115722656,596.226318359375,-999.0,312.90081787109375,53.46423796791444,59.63180856020094,67.99636150947983,13708455.0,2026-02-15T03:21:48.368176
3RIMG_23JAN2026_1845_L2B_OLR_V01R00.h5,2816,2805,-200.26170349121094,596.3075561523438,-999.0,312.8632507324219,53.30829180845892,59.58756178091071,68.04296305298979,13708485.0,2026-02-15T03:21:48.551524
3RIMG_23JAN2026_1915_L2B_OLR_V01R00.h5,2816,2805,-200.5034942626953,595.9849243164062,-999.0,311.82861328125,53.40816672743478,59.77404391508669,68.5116117728083,13708515.0,2026-02-15T03:21:48.735285
3RIMG_23JAN2026_1945_L2B_OLR_V01R00.h5,2816,2805,-200.78164672851562,595.5245361328125,-999.0,311.33306884765625,53.54245158807325,60.08106212526333,69.17671872467996,13708545.0,2026-02-15T03:21:48.917099
3RIMG_23JAN2026_2015_L2B_OLR_V01R00.h5,2816,2805,-201.27503967285156,595.3086547851562,-999.0,309.5672302246094,53.63283149003403,60.32389402041809,69.57853518473505,13708575.0,2026-02-15T03:21:49.098240
3RIMG_23JAN2026_2045_L2B_OLR_V01R00.h5,2816,2805,-201.27528381347656,595.0946044921875,-999.0,308.2725830078125,53.646896775239014,60.40595628747367,69.79754091719332,13708605.0,2026-02-15T03:21:49.324280
3RIMG_23JAN2026_2115_L2B_OLR_V01R00.h5,2816,2805,-201.34901428222656,595.1177368164062,-999.0,307.4698486328125,53.529196544320214,60.33127481364446,69.9288633325231,13708635.0,2026-02-15T03:21:49.505695
3RIMG_23JAN2026_2145_L2B_OLR_V01R00.h5,2816,2805,-201.34454345703125,595.0120239257812,-999.0,307.88458251953125,53.507028844595695,60.265543975854804,70.09822911602657,13708665.0,2026-02-15T03:21:49.684693
3RIMG_23JAN2026_2215_L2B_OLR_V01R00.h5,2816,2805,-201.82691955566406,595.0243530273438,-999.0,306.25079345703125,53.538628261221845,60.27434269162211,70.25517541727436,13708695.0,2026-02-15T03:21:49.864753
3RIMG_23JAN2026_2245_L2B_OLR_V01R00.h5,2816,2805,-201.32688903808594,595.0874633789062,-999.0,306.68914794921875,53.36083090260898,60.07468147382921,70.14299495624697,13708725.0,2026-02-15T03:21:50.049434
3RIMG_23JAN2026_2315_L2B_OLR_V01R00.h5,2816,2805,-201.13523864746094,595.4102783203125,-999.0,307.52142333984375,53.14834508183439,59.86004344919786,69.83206479906012,13708755.0,2026-02-15T03:21:50.230397
3RIMG_23JAN2026_2345_L2B_OLR_V01R00.h5,2816,2805,-200.77459716796875,595.578125,-999.0,311.3562927246094,52.919198671204015,59.61366674769081,69.78048786663426,13708785.0,2026-02-15T03:21:50.414257
3RIMG_24JAN2026_0014_L2B_OLR_V01R00.h5,2816,2805,-200.41680908203125,595.9066772460938,-999.0,312.1785888671875,52.59757079484686,59.25794543023821,69.49894162210339,13708814.0,2026-02-15T03:21:50.697478
3RIMG_24JAN2026_0015_L2B_OLR_V01R00.h5,2816,2805,-200.40232849121094,595.9049072265625,-999.0,311.952880859375,52.58412585075353,59.25232438016529,69.50941146086534,13708815.0,2026-02-15T03:21:50.875498
3RIMG_24JAN2026_0044_L2B_OLR_V01R00.h5,2816,2805,-199.892333984375,596.2884521484375,-999.0,317.0784606933594,52.27018260816724,58.81349001377411,69.03952205882354,13708844.0,2026-02-15T03:21:51.074988
3RIMG_24JAN2026_0045_L2B_OLR_V01R00.h5,2816,2805,-199.67584228515625,596.2255249023438,-999.0,317.5337219238281,52.26283979500891,58.8131102130935,69.03850925700858,13708845.0,2026-02-15T03:21:51.258041
3RIMG_24JAN2026_0114_L2B_OLR_V01R00.h5,2816,2805,-199.3138885498047,596.712646484375,-999.0,324.33001708984375,51.863985780262524,58.329079565710586,68.50087607356993,13708874.0,2026-02-15T03:21:51.437467
3RIMG_24JAN2026_0115_L2B_OLR_V01R00.h5,2816,2805,-199.3164825439453,596.7282104492188,-999.0,324.3687744140625,51.855149084427154,58.314824380165284,68.49496384297521,13708875.0,2026-02-15T03:21:51.620763
3RIMG_24JAN2026_0144_L2B_OLR_V01R00.h5,2816,2805,-199.17735290527344,597.0523071289062,-999.0,328.7476501464844,51.563449501701506,58.040405728407066,68.23750962161725,13708904.0,2026-02-15T03:21:51.802358
3RIMG_24JAN2026_0145_L2B_OLR_V01R00.h5,2816,2805,-198.85470581054688,596.9580688476562,-999.0,328.4249267578125,51.542661744449845,58.02537828147788,68.2430926916221,13708905.0,2026-02-15T03:21:51.987843
3RIMG_24JAN2026_0214_L2B_OLR_V01R00.h5,2816,2805,-198.39932250976562,597.4149169921875,-999.0,332.8132629394531,51.22404695349214,57.561274509803916,67.71925893291201,13708934.0,2026-02-15T03:21:52.183867
3RIMG_24JAN2026_0215_L2B_OLR_V01R00.h5,2816,2805,-198.3979034423828,597.415283203125,-999.0,332.7933654785156,51.22040086695835,57.55946412655971,67.71537230594717,13708935.0,2026-02-15T03:21:52.367289
3RIMG_24JAN2026_0244_L2B_OLR_V01R00.h5,2816,2805,-197.9927215576172,597.7042846679688,-999.0,337.2100830078125,51.00976340949603,57.22282146329606,67.3813249473343,13708964.0,2026-02-15T03:21:52.547825
3RIMG_24JAN2026_0245_L2B_OLR_V01R00.h5,2816,2805,-197.8585662841797,597.6639404296875,-999.0,337.2952880859375,51.00547166180521,57.21441520823205,67.36944984605412,13708965.0,2026-02-15T03:21:52.732427
3RIMG_24JAN2026_0315_L2B_OLR_V01R00.h5,2816,2805,-197.71522521972656,598.2167358398438,-999.0,341.1700744628906,50.80117687570896,56.793975854804735,66.75914813239345,13708995.0,2026-02-15T03:21:52.914022
3RIMG_24JAN2026_0345_L2B_OLR_V01R00.h5,2816,2805,-196.88864135742188,598.7322998046875,-999.0,346.44696044921875,50.5535594919786,56.33429043104845,65.81350773780586,13709025.0,2026-02-15T03:21:53.093776
3RIMG_24JAN2026_0415_L2B_OLR_V01R00.h5,2816,2805,-196.31385803222656,599.2415161132812,-999.0,350.3274230957031,50.34658078107276,55.97950595527467,65.08411319073085,13709055.0,2026-02-15T03:21:53.272788
3RIMG_24JAN2026_0445_L2B_OLR_V01R00.h5,2816,2805,-195.53250122070312,599.694091796875,-999.0,351.3258361816406,50.151211310970666,55.656523456490035,64.33823529411765,13709085.0,2026-02-15T03:21:53.451374
3RIMG_24JAN2026_0515_L2B_OLR_V01R00.h5,2816,2805,-195.1300506591797,600.3207397460938,-999.0,352.0197448730469,49.94266275725166,55.330021471398474,63.60164985415654,13709115.0,2026-02-15T03:21:53.632470
3RIMG_24JAN2026_0545_L2B_OLR_V01R00.h5,2816,2805,-194.4884033203125,600.7489624023438,-999.0,354.7433166503906,49.778310342732134,55.08460693161562,62.93406153783827,13709145.0,2026-02-15T03:21:53.811561
