Magnitude,Latitude,Longitude,Depth,Hazard_Level
5.8,24.191,121.899,17.0,0
6.2,-15.139,167.998,11.0,1
5.6,23.726,121.581,31.0,0
6.3,-3.313,130.975,15.0,1
5.8,10.875,125.29,6.0,0
5.8,-5.832,151.009,37.0,0
6.2,-8.11,107.272,60.0,1
5.6,28.77,142.53,8.0,0
5.4,7.574,-82.364,18.0,0
5.9,23.803,121.676,11.0,0
6.2,23.724,121.641,13.0,1
5.8,23.729,121.562,25.0,0
5.7,23.716,121.63,15.0,0
5.5,23.7,121.61,14.0,0
5.4,64.685,-17.218,7.0,0
5.7,-21.926,170.886,92.0,0
5.6,26.217,-110.508,16.0,0
5.7,39.997,35.98,4.0,0
5.4,11.136,-85.342,156.0,0
6.2,33.162,132.387,48.0,1
5.4,12.937,145.384,18.0,0
6.1,29.471,131.736,4.0,1
6.4,-5.818,151.097,49.0,1
5.6,33.549,81.891,8.0,0
5.8,-10.16,160.922,25.0,0
6.6,2.714,127.094,29.0,1
6.1,-1.684,134.44,15.0,1
5.7,40.905,143.213,25.0,0
6.8,19.088,145.355,224.0,1
6.2,37.72,141.924,37.0,1
7.4,23.819,121.562,44.0,2
6.3,15.816,146.866,8.0,1
5.9,40.139,141.706,75.0,0
5.9,-62.722,156.001,15.0,0
5.8,52.103,178.372,110.0,0
5.8,37.329,21.316,45.0,0
6.5,-21.029,173.769,17.0,1
6.9,-4.141,143.097,51.0,1
6.4,-5.867,112.362,6.0,1
5.6,-56.261,-27.416,92.0,0
5.5,29.764,65.365,12.0,0
5.3,24.318,142.875,25.0,0
5.5,12.351,-87.683,51.0,0
5.3,37.141,141.495,46.0,0
5.9,-58.891,158.499,25.0,0
5.8,28.423,130.134,29.0,0
6.1,29.832,-42.662,6.0,1
5.6,37.104,141.143,52.0,0
5.7,-0.113,125.214,35.0,0
6.0,-5.871,150.634,50.0,1
6.0,5.82,126.88,116.0,1
5.3,-5.815,102.185,28.0,0
6.9,-59.34,158.861,19.0,1
5.7,-7.362,105.925,36.0,0
6.4,-35.124,-110.786,8.0,1
6.0,10.996,138.61,14.0,1
5.8,-58.283,-24.971,26.0,0
5.9,-28.916,-71.526,34.0,0
6.1,22.03,142.745,241.0,1
5.8,8.699,125.544,49.0,0
5.7,19.188,-155.493,31.0,0
6.1,-29.912,-177.293,15.0,1
5.7,-22.832,-177.138,180.0,0
5.8,41.187,78.715,17.0,0
6.6,-8.215,-71.367,634.0,1
6.1,14.113,-90.519,86.0,1
5.6,-8.25,121.098,19.0,0
6.3,-18.009,168.016,35.0,1
7.1,41.294,78.594,22.0,2
6.7,-7.319,-71.506,628.0,1
6.2,18.477,145.572,190.0,1
6.5,-18.928,-175.147,215.0,1
5.6,-55.386,-28.63,17.0,0
5.7,-21.662,-176.259,154.0,0
5.7,8.546,126.497,40.0,0
5.9,56.382,-135.804,15.0,0
6.5,36.506,70.599,220.0,1
6.7,4.861,126.186,69.0,1
5.6,3.116,65.484,8.0,0
5.6,-21.146,-176.389,198.0,0
5.5,37.233,136.788,10.0,0
7.6,37.498,137.242,12.0,2
